iter	Passed	Remaining
568	1643	1244
569	1648	1243
570	1650	1240
571	1653	1237
572	1656	1234
573	1658	1230
574	1660	1227
575	1665	1225
576	1667	1222
577	1670	1219
578	1674	1217
579	1677	1214
580	1680	1211
581	1683	1208
582	1685	1205
583	1687	1202
584	1689	1198
585	1691	1194
586	1693	1191
587	1696	1188
588	1698	1185
589	1701	1182
590	1704	1179
591	1708	1177
592	1711	1174
593	1713	1171
594	1715	1167
595	1717	1164
596	1720	1161
597	1721	1157
598	1724	1154
599	1727	1151
600	1730	1148
601	1733	1145
602	1736	1143
603	1739	1140
604	1741	1137
605	1745	1134
606	1747	1131
607	1751	1129
608	1754	1126
609	1756	1122
610	1758	1119
611	1760	1115
612	1763	1113
613	1766	1110
614	1768	1106
615	1770	1103
616	1772	1100
617	1775	1097
618	1776	1093
619	1778	1090
620	1780	1086
621	1782	1083
622	1784	1080
623	1787	1076
624	1789	1073
625	1791	1070
626	1794	1067
627	1798	1065
628	1800	1061
629	1802	1058
630	1804	1055
631	1810	1054
632	1812	1051
633	1815	1047
634	1817	1044
635	1820	1042
636	1823	1039
637	1825	1035
638	1829	1033
639	1834	1031
640	1839	1030
641	1841	1027
642	1843	1023
643	1846	1020
644	1849	1017
645	1863	1021
646	1866	1018
647	1871	1016
648	1876	1014
649	1880	1012
650	1887	1011
651	1892	1010
652	1894	1006
653	1896	1003
654	1899	1000
655	1901	997
656	1903	993
657	1905	990
658	1908	987
659	1912	985
660	1915	982
661	1917	979
662	1919	975
663	1921	972
664	1924	969
665	1927	966
666	1929	963
667	1930	959
668	1933	956
669	1935	953
670	1937	949
671	1939	946
672	1942	944
673	1945	940
674	1949	938
675	1953	936
676	1957	933
677	1959	930
678	1963	928
679	1965	925
680	1968	921
681	1977	922
682	1979	918
683	1982	915
684	1985	912
685	1987	909
686	1989	906
687	1992	903
688	1995	900
689	1997	897
690	2000	894
691	2002	891
692	2004	888
693	2006	884
694	2008	881
695	2011	878
696	2013	875
697	2016	872
698	2018	869
699	2020	866
700	2023	862
701	2047	868
702	2049	865
703	2054	864
704	2057	861
705	2060	857
706	2062	854
707	2064	851
708	2067	848
709	2069	845
710	2071	842
711	2074	838
712	2076	835
713	2078	832
714	2082	830
715	2084	826
716	2087	823
717	2091	821
718	2094	818
719	2096	815
720	2105	814
721	2108	811
722	2112	809
723	2114	806
724	2126	806
725	2128	803
726	2131	800
727	2133	797
728	2136	794
729	2138	790
730	2140	787
731	2143	784
732	2146	781
733	2149	778
734	2164	780
735	2166	777
736	2168	773
737	2171	770
738	2173	767
739	2176	764
740	2179	761
741	2181	758
742	2183	755
743	2185	752
744	2195	751
745	2197	748
746	2200	745
747	2204	742
748	2207	739
749	2209	736
750	2211	733
751	2214	730
752	2218	727
753	2221	724
754	2224	721
755	2227	719
756	2235	717
757	2242	715
758	2247	713
759	2249	710
760	2255	708
761	2257	705
762	2259	701
763	2262	698
764	2265	695
765	2268	692
766	2270	689
767	2272	686
768	2281	685
769	2284	682
770	2286	679
771	2288	675
772	2292	673
773	2310	674
774	2312	671
775	2315	668
776	2317	665
777	2320	662
778	2322	659
779	2326	656
780	2329	653
781	2331	649
782	2332	646
783	2335	643
784	2337	640
785	2339	636
786	2341	633
787	2347	631
788	2349	628
789	2351	624
790	2375	627
791	2378	624
792	2380	621
793	2382	618
794	2385	615
795	2387	611
796	2408	613
797	2410	610
798	2412	606
799	2414	603
800	2417	600
801	2419	597
802	2421	594
803	2423	590
804	2427	587
805	2429	584
806	2431	581
807	2433	578
808	2435	574
809	2437	571
810	2439	568
811	2441	565
812	2444	562
813	2450	559
814	2452	556
815	2454	553
816	2456	550
817	2461	547
818	2463	544
819	2466	541
820	2468	538
821	2470	534
822	2472	531
823	2475	528
824	2478	525
825	2481	522
826	2483	519
827	2485	516
828	2487	513
829	2489	509
830	2491	506
831	2493	503
832	2496	500
833	2498	497
834	2500	494
835	2502	490
836	2504	487
837	2506	484
838	2507	481
839	2509	477
840	2511	474
841	2514	471
842	2517	468
843	2520	465
844	2522	462
845	2524	459
846	2527	456
847	2530	453
848	2532	450
849	2535	447
850	2538	444
851	2540	441
852	2542	438
853	2544	435
854	2546	431
855	2548	428
856	2551	425
857	2554	422
858	2563	420
859	2566	417
860	2568	414
861	2571	411
862	2573	408
863	2576	405
864	2578	402
865	2579	399
866	2581	396
867	2599	395
868	2613	394
869	2616	390
870	2618	387
871	2620	384
872	2622	381
873	2624	378
874	2626	375
875	2628	372
876	2631	369
877	2638	366
878	2640	363
879	2644	360
880	2649	357
881	2651	354
882	2655	351
883	2658	348
884	2664	346
885	2666	343
886	2668	340
887	2671	336
888	2673	333
889	2677	330
890	2679	327
891	2681	324
892	2684	321
893	2689	318
894	2691	315
895	2699	313
896	2702	310
897	2704	307
898	2707	304
899	2709	301
900	2712	298
901	2717	295
902	2722	292
903	2727	289
904	2730	286
905	2733	283
906	2737	280
907	2739	277
908	2741	274
909	2744	271
910	2747	268
911	2749	265
912	2752	262
913	2754	259
914	2756	256
915	2758	252
916	2761	249
917	2764	246
918	2766	243
919	2769	240
920	2770	237
921	2772	234
922	2775	231
923	2778	228
924	2781	225
925	2783	222
926	2787	219
927	2789	216
928	2792	213
929	2796	210
930	2798	207
931	2801	204
932	2804	201
933	2810	198
934	2812	195
935	2815	192
936	2817	189
937	2822	186
938	2824	183
939	2827	180
940	2829	177
941	2833	174
942	2836	171
943	2838	168
944	2841	165
945	2846	162
946	2850	159
947	2856	156
948	2859	153
949	2861	150
950	2863	147
951	2868	144
952	2872	141
953	2875	138
954	2887	136
955	2890	133
956	2894	130
957	2898	127
958	2901	124
959	2909	121
960	2913	118
961	2915	115
962	2918	112
963	2920	109
964	2923	106
965	2927	103
966	2930	99
967	2936	97
968	2939	94
969	2948	91
970	2950	88
971	2952	85
972	2954	81
973	2956	78
974	2959	75
975	2961	72
976	2963	69
977	2966	66
978	2969	63
979	2971	60
980	2973	57
981	2976	54
982	2984	51
983	2987	48
984	2989	45
985	2992	42
986	2994	39
987	2996	36
988	2998	33
989	3001	30
990	3003	27
991	3005	24
992	3008	21
993	3010	18
994	3013	15
995	3015	12
996	3033	9
997	3036	6
998	3039	3
999	3041	0
